Cycle,Pulse_Number,Voltage (V),R (Ohm),R_err (Ohm),k (Ohm·s^0.5),k_err (Ohm·s^0.5),R2
2,4,3.8792117,5.052303573742201,0.0031595879406400057,0.11972145359179391,0.0039189865124798955,0.9915006334702479
2,5,3.938828,4.960643957523744,0.0016324106890798274,0.11759375946525384,0.0020247562636523378,0.9976338725950418
2,6,4.0154152,4.888264547609907,0.002391885997232199,0.11236269673385699,0.0029667694455006786,0.9944537700329139
2,7,4.090704,4.850199670557173,0.0040075661449107645,0.10331821284241645,0.004970774026669825,0.9818190853864717
2,8,4.1662221,4.875598789707158,0.00334445164213763,0.10043039811196856,0.004148281713924123,0.9865349314081181
2,9,4.2567825,5.1986107432119475,0.0029682384188383076,0.10645791354756307,0.003681646641311001,0.9905227411219426
2,10,4.333694,5.755632289270095,0.008231042456083458,0.14035449996131802,0.010209351654751415,0.9593903742291867
3,1,3.7337482,5.74858114582068,0.0034596960892786977,0.14655979224415513,0.0042912248579527554,0.9931883166411957
3,2,3.7977569,5.4078784360756025,0.0030133938396004986,0.11363077064002372,0.003737655047664107,0.9914186894449304
3,3,3.8405554,5.256201670547012,0.0028799615933602445,0.11328560624059451,0.0035721527153186735,0.9921084970206132
3,4,3.8843277,5.1539950849758345,0.002113127719708341,0.11479864377733294,0.002621012356214089,0.9958471400111325
3,5,3.9444785,5.059205360830479,0.0034038808096530267,0.12082828514163839,0.004221994524058817,0.9903268780940941
3,6,4.021409,4.98984707880788,0.0021240437595389174,0.11339062722993619,0.0026345520373169517,0.9956999084575175
3,7,4.0967555,4.955944084913568,0.0017958144853442734,0.10692192304192366,0.002227433728586737,0.996540121592538
3,8,4.1724067,4.984299571844801,0.00299319472351132,0.10408375195277648,0.003712601127681334,0.9899241288875272
3,9,4.2617264,5.306081567216209,0.003577754511250393,0.10416137291446494,0.004437658308107743,0.9856872380511936
3,10,4.33881,5.862696680571802,0.00906934458491463,0.14709903268627203,0.011249137474522658,0.9553057952514838
4,1,3.7369742,5.825686165178368,0.003619796332048926,0.14369116833524828,0.004489804768774455,0.9922499264484113
4,2,3.8017466,5.503178572142451,0.0013792860211629123,0.1117053072028093,0.001710793753944828,0.9981270615092884
4,3,3.8459768,5.385018706074703,0.0019185687970803694,0.1136786817298146,0.0023796919959827457,0.9965065575730201
4,4,3.8895199,5.264570160469586,0.0037082800585373343,0.119681454207785,0.004599555878563768,0.988322051488389
4,5,3.9507971,5.197525715102411,0.002291354863461555,0.124905306609898,0.0028420762561424283,0.9958751840921656
4,6,4.0280714,5.143075241508349,0.003372404038134571,0.11158720510246051,0.0041829528969318675,0.9888833938559277
4,7,4.103303,5.105299315675478,0.002580597917087021,0.10979602274131314,0.003200838155238747,0.993246927210214
4,8,4.1792216,5.145631508015064,0.0030037822751577395,0.10811777314769405,0.003725733817255476,0.9905894898806645
4,9,4.268446,5.47205868283843,0.004259896240736515,0.10911431126311257,0.005283751613377719,0.9815863512936198
4,10,4.3456249,6.0297556526991185,0.0077492327723993676,0.153097381127553,0.009611741432648568,0.9694313893991368
5,1,3.739284,5.884733601113078,0.002956050726412748,0.15010525834634433,0.0036665301113575862,0.9952494854992091
5,2,3.8047054,5.589555285946837,0.00285813677568018,0.10902288930233817,0.0035450827798515733,0.9916121776250884
5,3,3.8483629,5.447680043583728,0.0028328121219858985,0.12016417049273799,0.0035136714134500198,0.9932063715850615
5,4,3.8921733,5.346907717172152,0.0035800295446433003,0.12637347260862858,0.00444048066506863,0.9902193097421907
5,5,3.9521716,5.270524603386551,0.002297286099333978,0.12443434513008499,0.0028494330571715277,0.9958225780979385
5,6,4.028892,5.209918536579005,0.004564988739482543,0.11595545482096282,0.005662172330771519,0.9812816542297752
5,7,4.1044674,5.1840728705880395,0.0034590308598580408,0.10962022531353223,0.004290400256340928,0.9878936171054705
5,8,4.1798325,5.226845025334333,0.0033323099811960765,0.10396585113463892,0.00413322232762567,0.9875138289536972
5,9,4.2682743,5.541960663458546,0.004019482598337874,0.10245542509484165,0.004985555158772856,0.981409235079036
5,10,4.3455482,6.088608454305067,0.007965496428325093,0.1533406192648163,0.009879983526859546,0.9678560838403177
6,1,3.7404294,5.948364483031721,0.002054556943513239,0.14974499096933824,0.002548364554281747,0.9976884492395782
6,2,3.8066144,5.6540972290994835,0.0032681059411437965,0.11096703458081135,0.00405358700645206,0.9894374357744168
6,3,3.8508828,5.519058387195043,0.002926806043533761,0.11643997926932571,0.0036302565430902304,0.9922839268099543
6,4,3.8949795,5.42033642124778,0.003016812938519699,0.12687402589221905,0.0037418963604238737,0.9930893898060656
6,5,3.9549778,5.341877697813519,0.0027319403163978294,0.12563575984998124,0.0033885553237341733,0.9942140787876388
6,6,4.0317364,5.284541739591414,0.0022188096235625844,0.11446462236908096,0.0027520949521489973,0.9953966876305462
6,7,4.1074643,5.254176597422304,0.0039280908378172,0.118388347130157,0.004872197627262473,0.9866316773327448
6,8,4.183116,5.318120988789491,0.0026831846768011914,0.10600800124021192,0.0033280813867961933,0.9921767069547883
6,9,4.2713094,5.632424203749338,0.0036529636406254437,0.10802777551642771,0.0045309442881282785,0.9861219896173782
6,10,4.3483162,6.175463625198579,0.008212764464791215,0.15514863108114327,0.010186681828681111,0.966662394881534
7,1,3.7427011,6.006261312149576,0.0030438458194365497,0.15184338167573685,0.0037754265293587224,0.9950786110459225
